Gene	Count
9606.ENSP00000337915	7
9606.ENSP00000360372	8
9606.ENSP00000353820	8
9606.ENSP00000342007	5
9606.ENSP00000261707	8
9606.ENSP00000380247	6
9606.ENSP00000478255	8
9606.ENSP00000340684	2
9606.ENSP00000306490	5
9606.ENSP00000316244	5
9606.ENSP00000437737	6
9606.ENSP00000369960	5
9606.ENSP00000276198	6
9606.ENSP00000280155	3
9606.ENSP00000354859	3
9606.ENSP00000219833	7
9606.ENSP00000270349	4
9606.ENSP00000259396	3
9606.ENSP00000295897	5
9606.ENSP00000480571	1
9606.ENSP00000324648	3
9606.ENSP00000285979	1
9606.ENSP00000440689	2
9606.ENSP00000368766	3
9606.ENSP00000399745	2
9606.ENSP00000255380	2
9606.ENSP00000409378	2
9606.ENSP00000372750	2
9606.ENSP00000333496	1
9606.ENSP00000319591	1
9606.ENSP00000306662	4
9606.ENSP00000337949	2
9606.ENSP00000377353	2
9606.ENSP00000262186	3
9606.ENSP00000289753	3
9606.ENSP00000271751	1
9606.ENSP00000394936	1
9606.ENSP00000355920	1
9606.ENSP00000275300	1
9606.ENSP00000200652	1
9606.ENSP00000260682	4
9606.ENSP00000222982	1
9606.ENSP00000360317	1
9606.ENSP00000265403	1
9606.ENSP00000362508	1
9606.ENSP00000335620	1
9606.ENSP00000234961	1
9606.ENSP00000265572	1
9606.ENSP00000431418	1
9606.ENSP00000277120	1
9606.ENSP00000352035	1
9606.ENSP00000371985	1
9606.ENSP00000366506	2
9606.ENSP00000256906	2
9606.ENSP00000277010	1
9606.ENSP00000363748	2
9606.ENSP00000394624	1
9606.ENSP00000358963	1
9606.ENSP00000373648	1
9606.ENSP00000258400	2
9606.ENSP00000381607	1
9606.ENSP00000367309	1
9606.ENSP00000217971	1
9606.ENSP00000380081	1
9606.ENSP00000480573	1
9606.ENSP00000347754	1
9606.ENSP00000358301	1
