Gene	Count
9606.ENSP00000337915	3
9606.ENSP00000260682	4
9606.ENSP00000353820	1
9606.ENSP00000360317	3
9606.ENSP00000356438	4
9606.ENSP00000285379	1
9606.ENSP00000285381	1
9606.ENSP00000268603	1
9606.ENSP00000344220	1
9606.ENSP00000364782	1
9606.ENSP00000366084	4
9606.ENSP00000263817	1
9606.ENSP00000478255	2
9606.ENSP00000237612	1
9606.ENSP00000295897	3
9606.ENSP00000360372	1
9606.ENSP00000418532	2
9606.ENSP00000346768	2
9606.ENSP00000305221	2
9606.ENSP00000304811	2
9606.ENSP00000371517	1
9606.ENSP00000354612	3
9606.ENSP00000381185	1
9606.ENSP00000366307	1
9606.ENSP00000274024	1
9606.ENSP00000287820	1
9606.ENSP00000003084	1
9606.ENSP00000385523	1
9606.ENSP00000329380	1
9606.ENSP00000357712	1
9606.ENSP00000289575	1
9606.ENSP00000382342	1
9606.ENSP00000305974	1
9606.ENSP00000367102	2
9606.ENSP00000337335	1
9606.ENSP00000301891	1
9606.ENSP00000362549	1
9606.ENSP00000270776	1
