Gene	Count
9606.ENSP00000295897	4
9606.ENSP00000260682	5
9606.ENSP00000287936	7
9606.ENSP00000349252	4
9606.ENSP00000366084	2
9606.ENSP00000305974	5
9606.ENSP00000256958	7
9606.ENSP00000261196	7
9606.ENSP00000289575	7
9606.ENSP00000280612	1
9606.ENSP00000263817	6
9606.ENSP00000237612	3
9606.ENSP00000359478	7
9606.ENSP00000337335	2
9606.ENSP00000216540	2
9606.ENSP00000337915	4
9606.ENSP00000265627	1
9606.ENSP00000360317	5
9606.ENSP00000362549	4
9606.ENSP00000418532	5
9606.ENSP00000304811	4
9606.ENSP00000360372	4
9606.ENSP00000430432	5
9606.ENSP00000478255	5
9606.ENSP00000369050	1
9606.ENSP00000222982	3
9606.ENSP00000353820	3
9606.ENSP00000324648	3
9606.ENSP00000365686	1
9606.ENSP00000317842	1
9606.ENSP00000353720	1
9606.ENSP00000367102	1
9606.ENSP00000301891	1
9606.ENSP00000361666	1
9606.ENSP00000441065	1
9606.ENSP00000259396	1
9606.ENSP00000480571	1
9606.ENSP00000353731	1
9606.ENSP00000242057	1
9606.ENSP00000356959	1
9606.ENSP00000333926	1
9606.ENSP00000382342	1
